sku,desc
03-513GY ,COMMUTER 1 17 2016 GREY MATTER          
03-539561,TRILOGY MEDIUM 2005 BLACK            S/D
03-1724GY ,RENEGADE S4 61CM 2020 SMOKE          S/D
03-2024CL ,T2X 53 2019 CHARCOAL (INCLD PARTS KIT)  
03-2025CL ,T2X 55 2019 CHARCOAL (INCLD PARTS KIT)  
03-2026CL ,T2X 57 2019 CHARCOAL (INCLD PARTS KIT)  
03-2540WH ,EXPLORER S/O 18 2019 WHITE              
03-3027CL ,HUDSON 17 2025 CHARCOAL                 
03-3031SL ,HUDSON 19 2025 SAHARA SILVER            
03-3058CL ,EXPLORER A2 15 2025 CHARCOAL            
03-3060CL ,EXPLORER A2 17 2025 CHARCOAL            
03-3062CL ,EXPLORER A2 19 2024 CHARCOAL            
03-3068SG ,EXPLORER A2 S/T 16 2024 ANO SAGE        
03-3161GY ,HARDLINE C4 19 2021 THUNDER GREY        
03-3362BK ,RENEGADE A1 58 2025 GLOSS BLACK         
03-3382BK ,DXT A2 15 2021 ANO BLACK                
03-3501BL ,HUDSON 17 2025 ANO MIDNIGHT SKY         
03-3502BL ,HUDSON 19 2025 ANO MIDNIGHT SKY         
03-3516BL ,EXPLORER A2 15 2024 ANO DEEP BLUE       
03-3606BL ,HUDSON E2 S/T 14 2025 DEEP BLUE         
03-3607GY ,HUDSON E2 S/T 14 2025 THUNDER GREY      
03-3646OR ,HARDLINE C2 17 2025 CLAY                
03-3647OR ,HARDLINE C2 19 2025 CLAY                
03-3648OR ,HARDLINE C2 21 2025 CLAY                
03-3651GN ,HARDLINE C3 19 2025 MASH                
03-3652GN ,HARDLINE C3 21 2025 MASH                
03-3653GY ,HARDLINE C4 15.5 2025 THUNDER GREY      
03-3654GY ,HARDLINE C4 17 2025 THUNDER GREY        
03-3655GY ,HARDLINE C4 19 2025 THUNDER GREY        
03-3656GY ,HARDLINE C4 21 2025 THUNDER GREY        
03-3659BK ,HARDLINE A2 17 2025 BLACK               
03-3660BK ,HARDLINE A2 19 2025 BLACK               
03-3661BK ,HARDLINE A2 21 2025 BLACK               
03-3673RD ,PORTAL C3 21 2025 OXBLOOD               
03-3674BL ,PORTAL C4 15.5 2025 RIPTIDE             
